Person 91
Starting Actual Velocity = [1.11551449 0.44294879]
[ 1.80198857 11.93102271]
[ 1.20667888 11.81771489]
[ 0.5876462 11.6346333]
[ 0.03873311 11.39948054]
[-0.47590453 11.10360854]
[-0.94974088 10.74757337]
[-1.37736908 10.33349845]
[-1.75448264  9.86513193]
[-2.07779457  9.3478127 ]
[-2.34491383  8.78834119]
[-2.55420268  8.19475964]
[-2.71538438  7.53186197]
[-2.80179298  6.89702428]
[-2.8306701  6.2114235]
[-2.79396493  5.57694681]
[-2.69895219  4.95665979]
[-2.54686193  4.35869222]
[-2.33942294  3.79009743]
[-2.06030491  3.2186143 ]
[-1.72350688  2.69318708]
[-1.3593606   2.24943612]
[-0.92404253  1.82257688]
[-0.4776686   1.47385926]
[8.63434116e-04 1.17119635e+00]
[0.50618809 0.91364763]
[2.02617877 0.60608745]
[3.45829817 0.35307055]
[4.79968584 0.14866608]
[ 6.04827495 -0.01256288]
[ 7.20282634 -0.13556916]
[ 8.26291947 -0.22483818]
[ 9.22890959 -0.28440814]
[10.10186051 -0.3178913 ]
[10.88346184 -0.32849521]
[11.57593849 -0.31904303]
[12.22524619 -0.29006061]
[12.74168514 -0.24652381]
[13.17824928 -0.18939398]
[13.53845533 -0.12011986]
[13.84649628 -0.03412556]
[14.06005636  0.05690711]
[14.20874808  0.15737645]
[14.29639928  0.26689357]
[14.32683945  0.38527051]
[14.30388467  0.51249162]
[14.23132664  0.64868188]
[14.11292432  0.79407229]
[13.9523965   0.94896223]
[13.75341424  1.11367962]
[13.51959215  1.28853909]
[13.23554128  1.48703233]
[12.91967607  1.69764582]
[13.6238594   2.67087315]
[14.26346468  3.60216527]
[14.84338559  4.49114801]
[15.3684973   5.33734728]
[15.84362955  6.1401986 ]
[16.27353787  6.89905742]
[16.66287343  7.61321084]
[17.01615251  8.28189092]
[17.33772632  8.90428957]
[17.61215036  9.44122254]
[17.88403702  9.97195995]
[18.11897899 10.42183496]
[18.35500167 10.85781191]
[18.56244132 11.21783387]
[18.77445653 11.55620771]
[18.96442841 11.82393346]
[19.16212436 12.06234296]
[19.34258269 12.23587355]
[19.52066979 12.36350865]
[19.697515   12.44505138]
[19.87402469 12.48040216]
[20.06352737 12.46879324]
[20.25402192 12.40423898]
[20.44588895 12.28707653]
[20.63930584 12.11784107]
[20.83428183 11.89729987]
[21.03069643 11.62649629]
[21.2283394  11.30680487]
[21.41370974 10.9644516 ]
[21.61301466 10.55561626]
[21.81276735 10.10451944]
[22.0127468   9.61457524]
[22.21277773  9.08993402]
[22.39939282  8.57252497]
[22.59919608  7.99546914]
[22.79862263  7.40088202]
[22.99739388  6.79647589]
[23.18184202  6.2312944 ]
[23.36465662  5.67286119]
[23.54477358  5.12962122]
[23.72059056  4.61062951]
[23.88976652  4.12549346]
[24.04894962  3.68431908]
[24.19339294  3.29766309]
[24.32518091  2.95353318]
[24.41445122  2.71537434]
[24.45815868  2.56579804]
[24.43673295  2.51472738]
[24.32302784  2.56853255]
[24.08166714  2.72524052]
[23.64364369  2.98452449]
[22.9758372   3.29498794]
