Person 91
[16.97329681 -6.39724848]
[15.72371432 -6.94907523]
[14.47145989 -7.2947153 ]
[13.23333104 -7.42137871]
[12.06833954 -7.29831729]
[11.02061512 -6.9158278 ]
[10.11692137 -6.28843142]
[ 9.36759292 -5.45362232]
[ 8.77004468 -4.46676275]
[ 8.31346454 -3.39358886]
[ 7.98333097 -2.30209586]
[ 7.76482884 -1.25533733]
[ 7.64480518 -0.30611387]
[7.61150972 0.54328486]
[10.24086467  3.1002011 ]
[12.63427229  5.22457175]
[14.7999218   6.92216766]
[18.09692517  6.65648218]
[20.9309397   6.23519907]
[23.62577885  5.65973207]
[26.02479048  4.97997831]
[28.03316726  4.26309363]
[30.07687688  3.37850515]
[32.20754507  2.24447847]
[33.78663799  1.16764831]
[34.94762796  0.16597225]
[35.87664257 -0.84041604]
[36.54040349 -1.76057775]
[37.08060866 -2.72573629]
[37.4534442  -3.64861143]
[37.72817435 -4.70802399]
[37.79699539 -5.55303171]
[37.72464004 -6.44932075]
[37.47720636 -7.29941086]
[36.99631787 -8.16898819]
[36.24485419 -8.96005822]
