Person 40
Starting Position = (314.45633361822,126.16519487008215)
(686.9579716992117,344.281160163125)
(687.0579628183928,344.3719774828129)
(687.1541757348484,344.4618550895656)
(687.256819168034,344.56036313054193)
(687.3608390561578,344.66267852884044)
(687.4609035587157,344.76323180977477)
(687.5784337489769,344.88405395642036)
(687.725160723496,345.0387699720188)
(687.8630996519279,345.1873556015793)
(687.991701607811,345.3284265874854)
(688.1219214790542,345.4737492494516)
(688.2420797362673,345.6098864032677)
(688.3692379790774,345.7562083483874)
(688.4916585963822,345.8991783633688)
(688.632752037022,346.06679854206556)
(688.7450457531078,346.20209376837016)
(688.8637664258649,346.3473449555329)
